leader,id,date,total_amount,group,Grant start date,start_month,type,location
Hu Jintao/Kim Jong-un,155,8/13/2012 - 8/18/2012,1,jintao,3/11/10,3,Non-summit,China
Hu Jintao/Kim Jong-un,156,11/29/2012 - 11/30/2012,1,jintao,3/11/10,3,Non-summit,North Korea
Xi Jinping/Kim Jong-un,157,5/24/2013 - 5/28/2013,1,jinping,2/4/10,3,Non-summit,China
Xi Jinping/Kim Jong-un,158,7/25/2013 - 7/28/2013,1,jinping,8/3/09,2,Non-summit,North Korea
Xi Jinping/Kim Jong-un,159,10/9/2015 - 10/12/2015,1,jinping,11/12/09,8,Non-summit,North Korea
Xi Jinping/Kim Jong-un,160,9/3/2015 - 9/3/2015,1,jinping,3/11/10,11,Non-summit,China
Xi Jinping/Kim Jong-un,161,5/31/2016 - 6/2/2016,1,jinping,3/11/10,3,Non-summit,North Korea
,,,,,,,,
,,,,,,,,
,,,,,,,,
